anda	-an-da
adaptabilitas	a-dap-ta-bi-li-tas
adaptasi	a-dap-ta-si
adapter	a-dap-ter
adaptif	a-dap-tif
adaptogen	a-dap-to-gen
adaptometer	a-dap-to-me-ter
adaptor	a-dap-tor
adapun	a-da-pun
adapus	a-da-pus
adar	a-dar
adargom	a-dar-gom
adarusa	a-da-ru-sa
adas	a-das
adat	a-dat
adati	a-da-ti
adatuang	a-da-tu-ang
adau	a-dau
adbukin	ad-bu-kin
ade	a-de
adeabiasang	a-de-a-bi-a-sang
adeg	a-deg
adegan	a-de-gan
adeh	a-deh
adei	a-dei
adek	a-dek
adekuat	a-de-ku-at
adelfogami	a-del-fo-ga-mi
adelfoparasit	a-del-fo-pa-ra-sit
adelo	a-de-lo
adem	a-dem
ademaraja	a-de-ma-ra-ja
adempauze	a-dem-pau-ze
adena	a-de-na
adenda	a-den-da
adendum	a-den-dum
adenin	a-de-nin
adenina	a-de-ni-na
adenium	a-de-ni-um
adenoblas	a-de-nob-las
adenoid	a-de-no-id
adenokarsinoma	a-de-no-kar-si-no-ma
adenoma	a-de-no-ma
adenopati	a-de-no-pa-ti
adenosina	a-de-no-si-na
adenosis	a-de-no-sis
adenosit	a-de-no-sit
adenovirus	a-de-no-vi-rus
adepadep	a-dep-a-dep
aderang	a-de-rang
adermatoglifia	a-der-ma-to-gli-fi-a
adesi	a-de-si
adfluvial	ad-flu-vi-al
adhan	a-dhan
adhesi	ad-he-si
adhesif	ad-he-sif
adi	a-di-
adiadi	a-di-a-di
adibuddha	a-di-bud-dha
adiabat	a-di-a-bat
adiabatik	a-di-a-ba-tik
adiafanus	a-di-a-fa-nus
adiafora	a-di-a-fo-ra
adiaksa	a-di-ak-sa
adiaktinik	a-di-ak-ti-nik
adiarus	a-di-a-rus
adib	a-dib
adibahasa	a-di-ba-ha-sa
adibangkit	a-di-bang-kit
adibasa	a-di-ba-sa
adibibit	a-di-bi-bit
adibintang	a-di-bin-tang
adiboga	a-di-bo-ga
adibusana	a-di-bu-sa-na
adicita	a-di-ci-ta
adidaya	a-di-da-ya
adidi	a-di-di
adidingin	a-di-di-ngin
adigang	a-di-gang
adiguna	a-di-gu-na
adigung	a-di-gung
adihablur	a-di-hab-lur
adihantar	a-di-han-tar
adijana	a-di-ja-na
adijenuh	a-di-je-nuh
adikberadik	a-dik-ber-a-dik
adik	a-dik
adika	a-di-ka
adikanda	a-dik-an-da
adikara	a-di-ka-ra
adikarya	a-di-kar-ya
adikekisi	a-di-ke-ki-si
adikodrati	a-di-kod-ra-ti
adikong	a-di-kong
adiksi	a-dik-si
adiksimba	a-dik-sim-ba
adiktif	a-dik-tif
adikuasa	a-di-ku-a-sa
adil	a-dil
adilaga	a-di-la-ga
adiluhung	a-di-lu-hung
adimanusia	a-di-ma-nu-si-a
adimarga	a-di-mar-ga
adimas	a-di-mas
adinamia	a-di-na-mi-a
adinda	a-din-da
ading	a-ding
adion	ad-i-on
adiparwa	a-di-par-wa
adipati	a-di-pa-ti
adipatni	a-di-pat-ni
adipektomi	a-di-pek-to-mi
adipenghantar	a-di-peng-han-tar
adiperagawan	a-di-pe-ra-ga-wan
adiposa	a-di-po-sa
adiposit	a-di-po-sit
adipositas	a-di-po-si-tas
adipsia	a-dip-si-a
adipuisi	a-di-pu-i-si
adipura	a-di-pu-ra
adipurna	a-di-pur-na
adiraja	a-di-ra-ja
adiratna	a-di-rat-na
adisatria	a-di-sat-ri-a
adiseni	a-di-se-ni
adisi	a-di-si
adisional	a-di-si-o-nal
adisiswa	a-di-sis-wa
adit	a-dit
aditama	a-di-ta-ma
aditi	a-di-ti
aditif	a-di-tif
aditokoh	a-di-to-koh
aditorium	a-di-to-ri-um
aditya	a-dit-ya
adityawarman	a-dit-ya-war-man
adiwacana	a-di-wa-ca-na
adiwangsa	a-di-wang-sa
adiwarna	a-di-war-na
adiwastra	a-di-was-tra
adiwicara	a-di-wi-ca-ra
adiwidia	a-di-wi-di-a
adiwira	a-di-wi-ra
adiwiyata	a-di-wi-ya-ta
adiyuga	a-di-yu-ga
adiyuswa	a-di-yus-wa
adjektif	ad-jek-tif
adjektiva	ad-jek-ti-va
adjektival	ad-jek-ti-val
adjudikasi	ad-ju-di-ka-si
adjuster	ad-jus-ter
adjuvan	ad-ju-van
adlib	ad-lib
adm	adm-
admin	ad-min
administrasi	ad-mi-nis-tra-si
administratif	ad-mi-nis-tra-tif
administrator	ad-mi-nis-tra-tor
administratur	ad-mi-nis-tra-tur
admiral	ad-mi-ral
admisi	ad-mi-si
admitans	ad-mi-tans
adnan	ad-nan
adnasal	ad-na-sal
adneksitis	ad-nek-si-tis
adnominal	ad-no-mi-nal
adobe	a-do-be
adodui	a-do-du-i
adok	a-dok
adolesens	a-do-le-sens
adolu	a-do-lu
adon	a-don
adonan	a-don-an
adong	a-dong
adopsi	a-dop-si
adopsian	a-dop-si-an
adoptif	a-dop-tif
adora	a-do-ra
adoral	ad-o-ral
adorasi	a-do-ra-si
adpel	ad-pel
adpertensi	ad-per-ten-si
adpis	ad-pis
adpokat	ad-po-kat
adposisi	ad-po-si-si
adrenal	ad-re-nal
adrenalektomi	ad-re-nal-ek-to-mi
adrenalin	ad-re-na-lin
adrenalina	ad-re-na-li-na
adrenergik	ad-re-ner-gik
adreng	ad-reng
adrenokortikal	ad-re-no-kor-ti-kal
adrenoreseptor	ad-re-no-re-sep-tor
adres	ad-res
adsorbat	ad-sor-bat
adsorben	ad-sor-ben
adsorpsi	ad-sorp-si
adsorptif	ad-sorp-tif
adstratum	ad-stra-tum
adstringen	ad-strin-gen
aduadu	a-du-a-du
adu	a-du
aduan	a-du-an
aduh	a-duh
aduhai	a-du-hai
adukaduk	a-duk-a-duk
adukadukan	a-duk-a-duk-an
aduk	a-duk
adukan	a-duk-an
aduksi	a-duk-si
aduktor	a-duk-tor
adum	a-dum
adumla	a-dum-la
adun	a-dun
adunan	a-dun-an
adung	a-dung
adur	a-dur
adusen	a-du-sen
adutan	a-du-tan
advantam	ad-van-tam
adveksi	ad-vek-si
adven	ad-ven
adventif	ad-ven-tif
adventisia	ad-ven-ti-si-a
adventisius	ad-ven-ti-si-us
adverbia	ad-ver-bi-a
adverbial	ad-ver-bi-al
advertensi	ad-ver-ten-si
advertorial	ad-ver-to-ri-al
advis	ad-vis
advisor	ad-vi-sor
advisori	ad-vi-so-ri
advokasi	ad-vo-ka-si
advokat	ad-vo-kat
adzab	a-dzab
adzan	a-dzan
aelotropik	a-e-lo-tro-pik
aem	a-em
aemono	a-e-mo-no
aeni	a-e-ni
aeolian	a-e-o-li-an
aeolus	a-e-o-lus
aerasi	a-e-ra-si
aerator	a-e-ra-tor
aerial	a-e-ri-al
aero	a-e-ro-
aerob	a-e-rob
aerobatik	a-e-ro-ba-tik
aerobik	a-e-ro-bik
aerobika	a-e-ro-bi-ka
aerobiologi	a-e-ro-bi-o-lo-gi
aerobioskop	a-e-ro-bi-o-skop
aerodinamik	a-e-ro-di-na-mik
aerodinamika	a-e-ro-di-na-mi-ka
aerodinamis	a-e-ro-di-na-mis
aerodine	a-e-ro-di-ne
aerofiarologi	a-e-ro-fi-a-ro-lo-gi
aerofisika	a-e-ro-fi-si-ka
aerofisiologi	a-e-ro-fi-si-o-lo-gi
aerofobia	a-e-ro-fo-bi-a
aerofon	a-e-ro-fon
aerograf	a-e-ro-graf
aerogram	a-e-ro-gram
aerokori	a-e-ro-ko-ri
aerolit	a-e-ro-lit
aerologi	a-e-ro-lo-gi
aerologis	a-e-ro-lo-gis
aeromagnetik	a-e-ro-mag-ne-tik
aeromekanika	a-e-ro-me-ka-ni-ka
aerometer	a-e-ro-me-ter
aeromonas	a-e-ro-mo-nas
aeromorfosis	a-e-ro-mor-fo-sis
aeromovel	a-e-ro-mo-vel
aeronausifobia	a-e-ro-nau-si-fo-bi-a
aeronaut	a-e-ro-naut
aeronautika	a-e-ro-nau-ti-ka
aeronautikal	a-e-ro-nau-ti-kal
aeronomi	a-e-ro-no-mi
aeroplankton	a-e-ro-plank-ton
aeropolis	a-e-ro-po-lis
aeroponik	a-e-ro-po-nik
aerosista	a-e-ro-sis-ta
aeroskop	a-e-ro-skop
aerosol	a-e-ro-sol
aerosolisasi	a-e-ro-so-li-sa-si
aerostat	a-e-ro-stat
aerostatika	a-e-ro-sta-ti-ka
aerotaksis	a-e-ro-tak-sis
aeroterapi	a-e-ro-te-ra-pi
aerotoleran	a-e-ro-to-le-ran
aerotonometer	a-e-ro-to-no-me-ter
aerotropisme	a-e-ro-tro-pis-me
aerotropolis	a-e-ro-tro-po-lis
aesi	a-e-si
aestetika	a-es-te-ti-ka
aetiologi	a-e-ti-o-lo-gi
afa	a-fa
afafar	a-fa-far
afaftema	a-faf-te-ma
afagia	a-fa-gi-a
afagosis	a-fa-go-sis
afair	a-fa-ir
afakia	a-fa-ki-a
afal	af-al
afanisme	a-fa-nis-me
afanitik	a-fa-ni-tik
afanoplasmodium	a-fa-no-plas-mo-di-um
afantobion	a-fan-to-bi-on
afara	a-fa-ra
afasia	a-fa-si-a
afasiologi	a-fa-si-o-lo-gi
afdal	af-dal
afdeling	af-de-ling
afdol	af-dol
afdruk	af-druk
afek	a-fek
afeksi	a-fek-si
afektif	a-fek-tif
afektifitas	a-fek-ti-fi-tas
afektivitas	a-fek-ti-vi-tas
aferen	a-fe-ren
aferesis	a-fe-re-sis
afesis	a-fe-sis
afetuoso	a-fe-tu-o-so
afgani	af-ga-ni
afganistan	af-ga-nis-tan
afian	a-fi-an
afiat	a-fi-at
afibrinogenemia	a-fi-bri-no-ge-ne-mi-a
afidavit	a-fi-da-vit
afidikola	a-fi-di-ko-la
afidivor	a-fi-di-vor
afifar	a-fi-far
afiks	a-fiks
afiksasi	a-fik-sa-si
afiliasi	a-fi-li-a-si
afiliator	a-fi-li-a-tor
afinitas	a-fi-ni-tas
afirmasi	a-fir-ma-si
afirmatif	a-fir-ma-tif
afitik	a-fi-tik
afkir	af-kir
afkiran	af-kir-an
afkofor	af-ko-for
aflatoksin	af-la-tok-sin
afluks	af-luks
afogato	a-fo-ga-to
afoka	a-fo-ka
afonia	a-fo-ni-a
afore	a-fo-re
aforefe	a-fo-re-fe
aforestasi	a-fo-res-ta-si
aforisme	a-for-is-me
afotik	a-fo-tik
afototropisme	a-fo-to-trop-is-me
afrasia	af-ra-si-a
afrika	af-ri-ka
afrikans	af-ri-kans
afrikat	af-ri-kat
afrit	af-rit
afrodisiak	af-ro-di-si-ak
afsun	af-sun
aftab	af-tab
aftovirus	af-to-vi-rus
aftufin	af-tu-fin
afuah	a-fu-ah
afui	a-fu-i
afwah	af-wah
afwan	af-wan
afyauf	af-ya-uf
aga	a-ga
agad	a-gad
agadi	a-ga-di
agah	a-gah
agahan	a-ga-han
agai	a-gai
againe	a-gai-ne
agakagak	a-gak-a-gak
agakagih	a-gak-a-gih
agak	a-gak
agaknya	a-gak-nya
agal	a-gal
agalaksia	a-ga-lak-si-a
agam	a-gam
agama	a-ga-ma
agamais	a-ga-ma-is
agamaisme	a-ga-ma-is-me
agamandroesis	a-ga-man-dro-e-sis
agamani	a-ga-ma-ni
agamawan	a-ga-ma-wan
agamawi	a-ga-ma-wi
agamen	a-ga-men
agameon	a-ga-me-on
agamet	a-ga-met
agami	a-ga-mi
agamis	a-ga-mis
agamobium	a-ga-mo-bi-um
agamodem	a-ga-mo-dem
agamogenesis	a-ga-mo-ge-ne-sis
agamoginoesis	a-ga-mo-gi-no-e-sis
agamogoni	a-ga-mo-go-ni
agamohermafrodit	a-ga-mo-her-ma-fro-dit
agamon	a-ga-mon
agamospermi	a-ga-mo-sper-mi
agamotrop	a-ga-mo-trop
agan	a-gan
aganta	a-gan-ta
agape	a-ga-pe
agaragar	a-gar-a-gar
agar	a-gar
agarikola	a-ga-ri-ko-la
agarosa	a-ga-ro-sa
agas	a-gas
agastya	a-gas-tya
agau	a-gau
agdaga	ag-da-ga
age	a-ge
agega	a-ge-ga
ageisme	a-ge-is-me
agel	a-gel
agem	a-gem
ageman	a-ge-man
agen	a-gen
agenda	a-gen-da
agenesis	a-ge-ne-sis
agens	a-gens
agensi	a-gen-si
agentif	a-gen-tif
ager	a-ger
ageusia	a-ge-u-si-a
agi	a-gi
agie	a-gi-e
agih	a-gih
agihan	a-gih-an
agil	a-gil
agio	a-gi-o
agiria	a-gi-ri-a
agirofobia	a-gi-ro-fo-bi-a
agit	a-git
agitasi	a-gi-ta-si
agitatif	a-gi-ta-tif
agitator	a-gi-ta-tor
agium	a-gi-um
aglaf	ag-laf
aglaonema	ag-la-o-ne-ma
aglet	ag-let
aglikon	ag-li-kon
agliofobia	ag-li-o-fo-bi-a
aglomerasi	ag-lo-me-ra-si
aglomerat	ag-lo-me-rat
aglonema	ag-lo-ne-ma
aglutinasi	ag-lu-ti-na-si
aglutinat	ag-lu-ti-nat
aglutinatif	ag-lu-ti-na-tif
aglutinin	ag-lu-ti-nin
aglutinogen	ag-lu-ti-no-gen
agmaman	ag-ma-man
agmatoploid	ag-ma-to-plo-id
agnatus	ag-na-tus
agni	ag-ni
agnihotra	ag-ni-hot-ra
agnosia	ag-no-si-a
agnosterol	ag-nos-te-rol
agnostik	ag-nos-tik
agnostisisme	ag-nos-ti-sis-me
agnyana	ag-nya-na
ago	a-go
agogo	a-go-go
agoh	a-goh
agok	a-gok
agometer	a-go-me-ter
agon	a-gon
agonan	a-go-nan
agoni	a-go-ni
agonia	a-go-ni-a
agonis	a-go-nis
agonisis	a-go-ni-sis
agonistik	a-go-nis-tik
agorafobia	a-go-ra-fo-bi-a
agouti	a-go-u-ti
agr	agr-
agrad	ag-rad
agradasi	ag-ra-da-si
agrafia	ag-ra-fi-a
agrafobia	ag-ra-fo-bi-a
agramatisme	ag-ra-ma-tis-me
agranulosit	ag-ra-nu-lo-sit
agraria	ag-ra-ri-a
agraris	ag-ra-ris
agregasi	ag-re-ga-si
agregat	ag-re-gat
agregatif	ag-re-ga-tif
agresi	ag-re-si
agresif	ag-re-sif
agresifitas	ag-re-si-fi-tas
agresivitas	ag-re-si-vi-tas
agresor	ag-re-sor
agrestal	ag-res-tal
agrian	ag-ri-an
agribisnis	ag-ri-bis-nis
agrikultur	ag-ri-kul-tur
agrin	ag-rin
agriologi	ag-ri-o-lo-gi
agriotipe	ag-ri-o-ti-pe
agripnia	ag-rip-ni-a
agrisilvikultur	ag-ri-sil-vi-kul-tur
agriterorisme	ag-ri-te-ror-is-me
agrium	ag-ri-um
agrizoofobia	ag-ri-zo-o-fo-bi-a
agrobiologi	ag-ro-bi-o-lo-gi
agrobis	ag-ro-bis
agrobisnis	ag-ro-bis-nis
agroekologi	ag-ro-e-ko-lo-gi
agroekonomi	ag-ro-e-ko-no-mi
agroekonomis	ag-ro-e-ko-no-mis
agroekosistem	ag-ro-e-ko-sis-tem
agroekotipe	ag-ro-e-ko-ti-pe
agrofili	ag-ro-fi-li
agrofit	ag-ro-fit
agroforestri	ag-ro-fo-res-tri
agrogeologi	ag-ro-ge-o-lo-gi
agrohidrologi	ag-ro-hid-ro-lo-gi
agroikos	ag-ro-i-kos
agroindustri	ag-ro-in-dus-tri
agroinput	ag-ro-in-put
agrokimia	ag-ro-ki-mi-a
agroklimatologi	ag-ro-kli-ma-to-lo-gi
agrokompleks	ag-ro-kom-pleks
agrologi	ag-ro-lo-gi
agromania	ag-ro-ma-ni-a
agrometeorologi	ag-ro-me-te-o-ro-lo-gi
agronom	ag-ro-nom
agronomi	ag-ro-no-mi
agronomik	ag-ro-no-mik
agronomis	ag-ro-no-mis
agropangan	ag-ro-pa-ngan
agropolis	ag-ro-po-lis
agropolitan	ag-ro-po-li-tan
agrostologi	ag-ro-sto-lo-gi
agroteknologi	ag-ro-tek-no-lo-gi
agroterorisme	ag-ro-te-ror-is-me
agrotipe	ag-ro-ti-pe
agrowisata	ag-ro-wi-sa-ta
agu	a-gu
aguk	a-guk
agul	a-gul
agun	a-gun
agunan	a-gun-an
agung	a-gung
agus	a-gus
agustinianisme	a-gus-ti-ni-an-is-me
agustus	a-gus-tus
agustusan	a-gus-tus-an
agutagut	a-gut-a-gut
agut	a-gut
aha	a-ha
ahad	a-had
ahadiat	a-ha-di-at
ahai	a-hai
ahakore	a-ha-ko-re
ahanawan	a-ha-na-wan
ahang	a-hang
ahare	a-ha-re
ahas	a-has
ahasale	a-ha-sa-le
ahau	a-hau
ahaun	a-ha-un
ahe	a-he
aherat	a-he-rat
ahermatipe	a-her-ma-ti-pe
ahet	a-het
ahi	a-hi
ahido	a-hi-do
ahilognosia	a-hi-log-no-si-a
ahiloso	a-hi-lo-so
ahimsa	a-him-sa
ahin	a-hin
ahing	a-hing
ahir	a-hir
ahirat	a-hi-rat
ahire	a-hi-re
ahistoris	a-his-to-ris
ahit	a-hit
ahkam	ah-kam
ahkana	ah-ka-na
ahlah	ah-lah
ahlak	ah-lak
ahli	ah-li
ahlilkitab	ah-lil-ki-tab
ahlulbait	ah-lul-ba-it
ahlulkitab	ah-lul-ki-tab
ahlulkubur	ah-lul-ku-bur
ahlunujum	ah-lu-nu-jum
ahlusuluk	ah-lu-su-luk
ahlusunah	ah-lu-su-nah
ahmak	ah-mak
ahmar	ah-mar
ahmer	ah-mer
aho	a-ho
ahoi	a-hoi
ahola	a-ho-la
ahori	a-ho-ri
ahsan	ah-san
ahudu	a-hu-du
ahuh	a-huh
ahuite	a-hu-i-te
ahum	a-hum
ahuneyo	a-hu-ne-yo
ahuni	a-hu-ni
ahutu	a-hu-tu
ahwal	ah-wal
aib	a-ib
aibinan	ai-bi-nan
aibohfobia	a-i-boh-fo-bi-a
aidemémoire	aide-mémoire
aigialium	ai-gi-a-li-um
aigialofili	ai-gi-a-lo-fi-li
aigiolokola	ai-gi-o-lo-ko-la
aih	a-ih
aihoi	ai-hoi
aikido	ai-ki-do
aikidoka	ai-ki-do-ka
aikmofobia	aik-mo-fo-bi-a
aikwakai	ai-kwa-kai
ail	a-il
aila	ai-la
ailakua	ai-la-ku-a
aileron	ai-le-ron
ailurofili	ai-lu-ro-fi-li
ailurofilia	ai-lu-ro-fi-li-a
ailurofobia	ai-lu-ro-fo-bi-a
aimala	ai-ma-la
aimara	ai-ma-ra
aimatatuli	ai-ma-ta-tu-li
aimitin	ai-mi-tin
ain	a-in
ainpati	ain-pa-ti
ainulbanat	ai-nul-ba-nat
ainulyakin	ai-nul-ya-kin
ainunjariah	ai-nun-ja-ri-ah
aipda	a-ip-da
air	a-ir
airan	ai-ran
airawata	ai-ra-wa-ta
airlangga	a-ir-lang-ga
airo	ai-ro
airoran	ai-ro-ran
airud	ai-rud
aisais	a-is-a-is
ais	a-is
aisibia	ai-si-bi-a
aitolida	ai-to-li-da
aiwo	ai-wo
aja	a-ja
ajab	a-jab
ajai	a-jai
ajaib	a-ja-ib
ajakajak	a-jak-a-jak
ajak	a-jak
ajakan	a-jak-an
ajal	a-jal
ajang	a-jang
ajarajar	a-jar-a-jar
ajar	a-jar
ajara	a-ja-ra
ajaran	a-jar-an
ajeg	a-jeg
ajektif	a-jek-tif
ajektiva	a-jek-ti-va
ajen	a-jen
ajendam	a-jen-dam
ajeng	a-jeng
ajengan	a-je-ngan
ajenrem	a-jen-rem
ajeran	a-je-ran
ajiaji	a-ji-a-ji
aji	a-ji
ajian	a-ji-an
ajib	a-jib
ajigineng	a-ji-gi-neng
ajik	a-jik
ajimat	a-ji-mat
ajing	a-jing
ajir	a-jir
ajisaka	a-ji-sa-ka
ajnabi	aj-na-bi
ajnas	aj-nas
ajo	a-jo
ajojing	a-jo-jing
ajoli	a-jo-li
ajongi	a-jo-ngi
ajre	aj-re
ajuaju	a-ju-a-ju
aju	a-ju
ajuan	a-ju-an
ajudan	a-ju-dan
ajufan	a-ju-fan
ajuh	a-juh
ajujah	a-ju-jah
ajuk	a-juk
ajuman	a-ju-man
ajun	a-jun
ajuna	a-ju-na
ajung	a-jung
